	words	labels	times	sentence_id
0	w	B	 	0
1	wywiadzie	B	 	0
2	dla	B	 	0
3	""""	B	 	0
4	polski	B	 	0
5	""""	B	 	0
6	jarosław	B	 	0
7	kaczyński	B	 	0
8	podkreślił	,	 	0
9	że	B	 	0
10	informacje	B	 	0
11	dotyczące	B	 	0
12	radosława	B	 	0
13	sikorskiego	B	 	0
14	zagrażają	B	 	0
15	interesowi	B	 	0
16	państwa	.	 	0
17	""""	B	 	0
18	to	B	 	0
19	naprawdę	B	 	0
20	wszystko	,	 	0
21	co	B	 	0
22	mogę	B	 	0
23	na	B	 	0
24	ten	B	 	0
25	temat	B	 	0
26	powiedzieć	B	 	0
27	""""	-	 	0
28	odpowiedział	,	 	0
29	gdy	B	 	0
30	dziennikarz	B	 	0
31	pytał	B	 	0
32	o	B	 	0
33	bardziej	B	 	0
34	szczegółowe	B	 	0
35	informacje	.	 	0
36	premier	B	 	0
37	kaczyński	B	 	0
38	sugeruje	,	 	0
39	że	B	 	0
40	dobry	B	 	0
41	kandydat	B	 	0
42	po	B	 	0
43	na	B	 	0
44	szefa	B	 	0
45	dyplomacji	B	 	0
46	to	B	 	0
47	np	.	 	0
48	jacek	B	 	0
49	saryusz	-	 	0
50	wolski	B	 	0
51	wymieniony	B	 	0
52	polityk	B	 	0
53	zyskał	B	 	0
54	uznanie	B	 	0
55	braci	B	 	0
56	kaczyńskich	B	 	0
57	za	B	 	0
58	dotychczasową	B	 	0
59	działalność	B	 	0
60	w	B	 	0
61	charakterze	B	 	0
62	dyplomaty	B	 	0
63	i	B	 	0
64	dużą	B	 	0
65	wiedzę	.	 	0
66	premier	B	 	0
67	krytycznie	B	 	0
68	ocenia	B	 	0
69	również	B	 	0
70	dotychczasowe	B	 	0
71	poczynania	B	 	0
72	po	.	 	0
73	""""	B	 	0
74	gabinet	B	 	0
75	cieni	B	 	0
76	i	B	 	0
77	inne	B	 	0
78	podobne	B	 	0
79	pomysły	B	 	0
80	okazały	B	 	0
81	się	B	 	0
82	fikcją	.	 	0
83	świadczą	B	 	0
84	o	B	 	0
85	tym	B	 	0
86	kłopoty	B	 	0
87	ze	B	 	0
88	znajdywaniem	B	 	0
89	kolejnych	B	 	0
90	ministerstw	.	 	0
91	cały	B	 	0
92	czas	B	 	0
93	nie	B	 	0
94	wiadomo	,	 	0
95	kto	B	 	0
96	obsadzi	B	 	0
97	które	B	 	0
98	ministerstwo	.	 	0
99	a	B	 	0
100	tam	,	 	0
101	gdzie	B	 	0
102	już	B	 	0
103	wiadomo	,	 	0
104	to	B	 	0
105	nie	B	 	0
106	ma	B	 	0
107	się	B	 	0
108	z	B	 	0
109	czego	B	 	0
110	cieszyć	B	 	0
111	""""	-	 	0
112	mówił	B	 	0
113	kaczyński	.	 	0
114	stwierdził	B	 	0
115	także	,	 	0
116	że	B	 	0
117	""""	B	 	0
118	uważny	B	 	0
119	obserwator	B	 	0
120	życia	B	 	0
121	publicznego	B	 	0
122	musi	B	 	0
123	dostrzegać	B	 	0
124	też	B	 	0
125	rolę	B	 	0
126	w	B	 	0
127	tym	B	 	0
128	wszystkim	B	 	0
129	jana	B	 	0
130	krzysztofa	B	 	0
131	bieleckiego	.	 	0
132	będzie	B	 	0
133	osobą	B	 	0
134	bardzo	B	 	0
135	ważną	B	 	0
136	""""	.	 	0
137	pytany	B	 	0
138	o	B	 	0
139	radę	,	 	0
140	jaką	B	 	0
141	dałby	B	 	0
142	donaldowi	B	 	0
143	tuskowi	,	 	0
144	powiedział	:	 	0
145	""""	B	 	0
146	radzę	B	 	0
147	donaldowi	B	 	0
148	tuskowi	,	 	0
149	żeby	B	 	0
150	uczciwie	B	 	0
