	words	labels	times	sentence_id
0	co	B	 	0
1	znaczy	,	 	0
2	że	B	 	0
3	beginki	B	 	0
4	""""	B	 	0
5	padły	B	 	0
6	ofiarą	B	 	0
7	reformacji	B	 	0
8	""""	?	 	0
9	grzesie2k	B	 	0
10	wpis	B	 	0
11	na	B	 	0
12	słabym	B	 	0
13	poziomie	B	 	0
14	bzdurna	B	 	0
15	informacja	B	 	0
16	o	B	 	0
17	50	B	 	0
18	spalonych	B	 	0
19	waldensach	;	 	0
20	po	B	 	0
21	co	B	 	0
22	w	B	 	0
23	bibliografii	B	 	0
24	pseudonaukowa	B	 	0
25	książka	B	 	0
26	magdaleny	B	 	0
27	ogórek	?	 	0
28	fragment	B	 	0
29	recenzji	B	 	0
30	z	B	 	0
31	księgarni	B	 	0
32	gandalf	:	 	0
33	""""	B	 	0
34	magdalena	B	 	0
35	ogórek	B	 	0
36	do	B	 	0
37	inkwizycji	B	 	0
38	oraz	B	 	0
39	kościoła	B	 	0
40	ma	B	 	0
41	stosunek	B	 	0
42	jednoznaczny	,	 	0
43	pisząc	B	 	0
44	o	B	 	0
45	inkwizycyjnej	B	 	0
46	pożodze	B	 	0
47	oraz	B	 	0
48	występkach	B	 	0
49	heretyków	B	 	0
50	spreparowanych	B	 	0
51	przez	B	 	0
52	inkwizytorów	,	 	0
53	którzy	B	 	0
54	siali	B	 	0
55	spustoszenie	B	 	0
56	oraz	B	 	0
57	o	B	 	0
58	tym	B	 	0
59	jak	B	 	0
60	to	B	 	0
61	w	B	 	0
62	połowie	B	 	0
63	xiii	B	 	0
64	w	?	 	0
65	duchowni	B	 	0
66	skupiali	B	 	0
67	się	B	 	0
68	na	B	 	0
69	obsadzaniu	B	 	0
70	stanowisk	B	 	0
71	kościelnych	,	 	0
72	budowaniu	B	 	0
73	zamętu	B	 	0
74	przez	B	 	0
75	interdykty	,	 	0
76	schizmy	B	 	0
77	i	B	 	0
78	walki	,	 	0
79	lekceważyli	B	 	0
80	obowiązki	B	 	0
81	duszpasterskie	.	 	0
82	nie	B	 	0
83	ukrywa	B	 	0
84	też	,	 	0
85	że	B	 	0
86	jej	B	 	0
87	celem	B	 	0
88	jest	B	 	0
89	próba	B	 	0
90	rehabilitacji	B	 	0
91	heretyków	.	 	0
92	takie	B	 	0
93	jednoznacznie	B	 	0
94	ideologiczne	B	 	0
95	ustawienie	B	 	0
96	problematyki	B	 	0
97	nie	B	 	0
98	ma	B	 	0
99	wiele	B	 	0
100	wspólnego	B	 	0
101	z	B	 	0
102	prawdą	B	 	0
103	o	B	 	0
104	epoce	,	 	0
105	obiektywizmem	B	 	0
